type,duration,newType,newArtifact
WriteTestCases,00:32,false,false
DebugTestFailure,07:53,true,false
Review,01:00,false,false
WriteFunctionDescription,06:51,false,false
WriteTest,00:32,false,true
Review,06:40,false,false
Review,01:11,false,false
WriteTest,00:17,false,true
WriteTest,00:29,false,true
Review,01:37,false,true
Review,01:22,false,false
Review,00:48,false,true
WriteTest,00:49,false,true
WriteTest,02:01,false,true
Review,00:34,false,true
Review,00:24,false,true
Review,01:35,false,true
WriteTest,01:35,false,true
Review,01:13,false,true
WriteCall,02:00,true,false
Review,00:39,false,false
DebugTestFailure,03:09,false,false
Review,02:08,false,true
WriteTestCases,01:29,false,true
DebugTestFailure,00:21,false,false
WriteTest,00:56,false,false
Review,00:43,false,true
DebugTestFailure,00:12,false,false
WriteTest,00:17,false,true
WriteTest,00:30,false,true
Review,00:40,false,true
Review,01:56,false,false
Review,00:24,false,true
Review,00:24,false,true
WriteTest,00:43,false,true
WriteTest,00:16,false,true
Review,00:15,false,true
WriteFunction,04:00,false,false
Review,00:24,false,true
WriteTestCases,01:21,false,false
Review,00:32,false,false
WriteFunction,01:13,false,false
Review,00:15,false,false
Review,02:13,false,false
WriteFunction,00:39,false,false
DebugTestFailure,03:01,false,false
DebugTestFailure,04:54,false,false
Review,01:39,false,false
Review,00:32,false,false
WriteFunction,08:35,false,false
WriteFunction,01:30,false,false
WriteTest,00:36,false,true
DebugTestFailure,00:46,false,false
Review,00:45,false,false
Review,01:55,false,false
Review,00:21,false,true
Review,01:26,false,false
WriteFunction,01:07,false,false
WriteTest,00:52,false,true
WriteFunction,01:01,false,false
WriteTest,01:00,false,false
WriteFunction,00:42,false,false
Review,00:35,false,false
Review,00:53,false,false
Review,00:47,false,false
Review,01:17,false,false
Review,01:53,false,false
DebugTestFailure,03:01,false,false
Review,00:59,false,false
WriteTest,00:51,false,false
WriteFunction,02:31,false,false
DebugTestFailure,03:35,true,false
Review,01:45,false,false
Review,01:50,false,false
Review,02:46,false,true
WriteTest,00:22,false,false
Review,00:29,false,false
DebugTestFailure,01:15,false,false
WriteTest,01:19,false,false
Review,00:19,false,false
WriteFunction,01:57,false,false
Review,00:55,false,false
WriteFunction,01:09,false,false
Review,00:50,false,false
ReuseSearch,00:45,false,false
WriteFunctionDescription,07:58,false,true
Review,00:57,false,true
WriteCall,06:23,false,false
Review,04:26,false,false
WriteTestCases,02:01,false,true
Review,01:06,false,true
WriteTest,01:44,false,true
WriteTest,01:35,false,true
WriteTest,01:45,false,true
WriteCall,10:02,true,false
Review,00:46,false,true
Review,00:17,false,true
Review,00:21,false,true
Review,00:47,false,true
DebugTestFailure,01:38,false,false
Review,02:33,false,false
WriteFunction,01:33,false,true
Review,01:15,false,true
WriteFunction,05:12,false,false
WriteCall,00:26,false,false
WriteFunction,01:41,false,false
Review,00:31,false,false
Review,01:47,false,true
WriteTestCases,08:38,false,true
Review,00:57,false,false
Review,01:19,false,false
WriteTestCases,02:13,false,false
WriteFunction,02:39,false,false
WriteTestCases,01:41,false,false
Review,00:49,false,false
Review,01:01,false,true
Review,01:53,false,false
WriteTestCases,00:35,false,false
WriteTest,01:37,false,true
Review,00:38,false,true
Review,01:20,false,false
WriteFunction,01:01,false,true
WriteTestCases,01:24,false,true
Review,01:12,false,false
Review,00:44,false,false
Review,01:17,false,false
WriteFunction,08:55,false,false
WriteFunction,01:17,true,true
Review,00:27,false,false
Review,01:24,false,false
DebugTestFailure,04:26,true,false
WriteFunction,01:48,false,false
WriteFunction,03:55,true,true
Review,02:48,false,false
Review,02:04,false,false
WriteFunction,02:36,false,false
WriteFunction,01:28,false,false
Review,01:05,false,false
Review,04:48,false,false
WriteFunction,06:22,false,false
Review,00:44,false,false
WriteFunction,03:06,false,false
Review,02:29,false,false
WriteFunction,00:56,false,false
Review,01:33,false,false
WriteFunction,10:13,false,false
Review,00:46,false,false
DebugTestFailure,06:00,false,false
WriteFunction,03:53,false,false
Review,03:00,false,false
DebugTestFailure,06:50,false,false
WriteFunction,04:16,false,false
