type,duration,newType,newArtifact
Review,26639,false,true
ReuseSearch,42142,false,false
WriteFunction,153534,false,false
WriteTest,89034,false,true
Review,103494,false,true
WriteTest,55723,false,true
Review,31059,false,true
Review,27994,false,true
Review,173705,false,true
WriteTestCases,109734,false,false
WriteFunction,184389,false,true
WriteCall,111745,true,false
WriteTestCases,286779,false,false
Review,24853,false,false
WriteTest,75961,false,true
WriteTest,47669,false,true
WriteTest,327451,false,true
WriteTest,180932,false,true
WriteTest,102121,false,true
WriteTest,236354,false,true
WriteTest,74400,false,true
WriteTest,54271,false,true
WriteTest,145395,false,true
WriteTestCases,32943,false,false
Review,91608,false,true
WriteFunctionDescription,320065,true,true
WriteFunction,290134,false,false
Review,33355,false,false
Review,94241,false,false
Review,73573,false,false
Review,25365,false,false
Review,36014,false,true
WriteTest,41264,false,true
WriteTest,68563,false,true
WriteTest,23892,false,true
WriteTest,310544,false,true
WriteTest,33286,false,true
WriteTest,30471,false,true
WriteTest,183093,false,true
WriteTest,44085,false,true
WriteTest,86254,false,true
WriteTest,32111,false,true
WriteTest,124163,false,true
Review,35398,false,false
Review,166484,false,true
Review,23248,false,true
WriteFunction,100039,false,false
Review,78491,false,false
Review,69453,false,true
WriteTestCases,333178,false,true
WriteFunction,510055,true,true
WriteCall,222015,false,false
WriteTest,222570,false,true
WriteTest,57423,false,false
Review,84974,false,true
Review,38349,false,true
Review,161817,false,true
Review,81754,false,false
WriteTest,235277,false,true
Review,136879,false,true
Review,121293,false,true
Review,243251,false,true
Review,36823,false,true
WriteTest,114647,false,true
WriteTest,88634,false,false
Review,37783,false,true
Review,114386,false,false
WriteTestCases,131676,false,false
Review,64523,false,true
Review,105171,false,true
WriteTest,64405,false,false
Review,18460,false,true
WriteTestCases,109888,false,false
WriteTest,156946,false,false
Review,21035,false,true
Review,30528,false,true
Review,142646,false,true
Review,73640,false,true
Review,213137,false,false
Review,29041,false,true
Review,48242,false,true
WriteTest,31338,false,false
WriteTestCases,71119,false,false
WriteFunction,51310,false,true
WriteCall,22638,false,false
Review,23249,false,true
WriteTest,218818,false,true
Review,22491,false,true
Review,35293,false,true
Review,66468,false,false
WriteFunction,257970,false,false
Review,67914,false,false
Review,18618,false,true
Review,39841,false,false
Review,46691,false,true
Review,86029,false,false
DebugTestFailure,448380,true,false
Review,28888,false,true
Review,87505,false,false
WriteTest,48993,false,true
WriteTest,21614,false,true
WriteTest,18013,false,true
WriteTest,111292,false,true
Review,94054,false,false
WriteTestCases,311525,false,true
DebugTestFailure,126231,true,false
Review,123063,false,false
WriteTestCases,15404,false,false
WriteTestCases,164621,false,false
Review,60954,false,true
Review,53993,false,true
WriteTestCases,108849,false,false
Review,147898,false,false
Review,86512,false,false
WriteTest,58650,false,false
Review,299621,false,true
Review,51563,false,true
WriteTest,261376,false,false
Review,96842,false,false
Review,412125,false,false
Review,40084,false,true
Review,48070,false,false
Review,16013,false,true
Review,14547,false,true
WriteTest,41946,false,true
WriteTest,8207,false,true
WriteTest,7853,false,true
WriteTest,29306,false,true
WriteFunction,401829,true,false
Review,125553,false,true
Review,22952,false,true
DebugTestFailure,496032,true,false
WriteFunction,120169,false,false
Review,95845,false,true
Review,47118,false,true
Review,126357,false,true
Review,47069,false,false
Review,26269,false,true
WriteFunction,499415,false,true
WriteTest,47170,false,true
WriteTest,56566,false,true
Review,146963,false,true
Review,25519,false,true
Review,63204,false,true
WriteFunction,174210,false,false
Review,39420,false,false
Review,78069,false,false
Review,93766,false,true
Review,43862,false,false
DebugTestFailure,3319,true,false
Review,60632,false,true
WriteFunction,381851,false,false
WriteTest,420845,false,true
Review,21809,false,false
Review,137528,false,false
DebugTestFailure,135103,true,false
Review,79047,false,false
Review,86957,false,false
WriteTest,125469,false,true
WriteTest,66954,false,true
WriteTest,24927,false,true
WriteTest,18431,false,true
WriteTest,35888,false,true
WriteTest,81335,false,true
Review,46573,false,false
Review,114642,false,true
WriteFunction,127976,false,false
Review,23791,false,false
WriteTestCases,96709,false,false
WriteFunction,87563,false,false
WriteTestCases,110917,false,false
Review,82682,false,true
Review,19821,false,true
Review,47977,false,true
Review,174661,false,false
Review,10217,false,true
Review,76101,false,false
Review,22614,false,true
WriteTest,48637,false,true
WriteTest,62561,false,true
WriteTest,15790,false,true
WriteTest,19797,false,true
Review,25974,false,true
ReuseSearch,50854,false,false
WriteTestCases,46715,false,false
Review,21512,false,false
WriteTest,212942,false,true
WriteFunction,269454,false,false
Review,29924,false,false
Review,24943,false,true
DebugTestFailure,262945,false,false
Review,46806,false,true
WriteFunction,43554,false,false
WriteFunction,143241,false,false
Review,22108,false,true
Review,23948,false,true
DebugTestFailure,169353,false,false
Review,87000,false,false
WriteFunctionDescription,107198,false,true
Review,25347,false,false
Review,100973,false,false
Review,30925,false,true
WriteFunction,303142,false,false
Review,159562,false,false
DebugTestFailure,353848,false,false
WriteFunction,209926,false,false
DebugTestFailure,42886,false,false
Review,26938,false,false
Review,66089,false,false
Review,33935,false,true
Review,65420,false,false
WriteTestCases,77844,false,true
WriteFunction,375760,false,false
WriteCall,17267,false,false
WriteFunction,412881,false,false
DebugTestFailure,76170,false,false
Review,75713,false,false
DebugTestFailure,100642,false,false
Review,59924,false,false
Review,85305,false,false
DebugTestFailure,450313,false,false
WriteTest,14780,false,true
Review,47873,false,false
Review,37657,false,true
DebugTestFailure,125405,false,false
Review,134140,false,true
Review,13712,false,false
Review,97912,false,true
WriteTest,34300,false,true
WriteTest,56939,false,true
WriteTest,32949,false,true
WriteTest,19052,false,true
WriteTest,48921,false,true
WriteTest,45078,false,true
Review,156943,false,false
WriteTestCases,240847,false,false
Review,42831,false,true
Review,18436,false,true
Review,44452,false,false
Review,12893,false,true
Review,17943,false,true
Review,9145,false,true
Review,26073,false,true
ReuseSearch,15245,false,false
WriteTest,84443,false,true
Review,42083,false,false
Review,75701,false,false
WriteFunctionDescription,119939,false,true
ReuseSearch,29999,false,false
Review,30704,false,false
Review,83527,false,true
Review,11002,false,false
